MovieID,Title,IMDbRating,Plot,Director,Actors,Genre,Runtime,Released
1,Toy Story (1995)/The Wrestler (2008) - 99 Movie Buff Specialists (Ep 2),N/A,N/A,N/A,N/A,N/A,N/A,03 Feb 2021
2,Jumanji (1995),N/A,N/A,N/A,N/A,Talk-Show,N/A,11 May 2022
6,313: Heat (1995),N/A,N/A,N/A,N/A,N/A,N/A,26 Jul 2019
18,Four Rooms (1995) VHS Movie Review,N/A,N/A,N/A,N/A,N/A,N/A,24 Oct 2019
27,Now And Then (1995),N/A,N/A,N/A,N/A,N/A,N/A,30 Jun 2021 
39,Clueless (1995),N/A,N/A,N/A,N/A,N/A,N/A,16 Sep 2020
1,Toy Story,8.3,A cowboy doll is profoundly threatened and jealous when a new spaceman action figure supplants him as top toy in a boy's bedroom.,John Lasseter,"Tom Hanks, Tim Allen, Don Rickles","Animation, Adventure, Comedy",81 min,22 Nov 1995
2,Jumanji,7.1,"When two kids find and play a magical board game, they release a man trapped in it for decades - and a host of dangers that can only be stopped by finishing the game.",Joe Johnston,"Robin Williams, Kirsten Dunst, Bonnie Hunt","Adventure, Comedy, Family",104 min,15 Dec 1995
3,Grumpier Old Men,6.7,"John and Max resolve to save their beloved bait shop from turning into an Italian restaurant, just as its new female owner catches Max's attention.",Howard Deutch,"Walter Matthau, Jack Lemmon, Ann-Margret","Comedy, Romance",101 min,22 Dec 1995
4,Waiting to Exhale,6.0,"Based on Terry McMillan's novel, this film follows four very different African-American women and their relationships with men.",Forest Whitaker,"Whitney Houston, Angela Bassett, Loretta Devine","Comedy, Drama, Romance",124 min,22 Dec 1995
5,Father of the Bride Part II,6.1,"George Banks must deal not only with his daughter's pregnancy, but also with his wife's.",Charles Shyer,"Steve Martin, Diane Keaton, Martin Short","Comedy, Family, Romance",106 min,08 Dec 1995
6,Heat,8.3,A group of high-end professional thieves start to feel the heat from the LAPD when they unknowingly leave a verbal clue at their latest heist.,Michael Mann,"Al Pacino, Robert De Niro, Val Kilmer","Action, Crime, Drama",170 min,15 Dec 1995
7,Sabrina,6.3,"An ugly duckling having undergone a remarkable change, still harbors feelings for her crush: a carefree playboy, but not before his business-focused brother has something to say about it.",Sydney Pollack,"Harrison Ford, Julia Ormond, Greg Kinnear","Comedy, Drama, Romance",127 min,15 Dec 1995
8,Tom and Huck,5.5,Two best friends witness a murder and embark on a series of adventures in order to prove the innocence of the man wrongly accused of the crime.,Peter Hewitt,"Jonathan Taylor Thomas, Brad Renfro, Charles Rocket","Adventure, Comedy, Drama",97 min,22 Dec 1995
9,Sudden Death,5.8,A former fireman takes on a group of terrorists holding the Vice President and others hostage during the seventh game of the NHL Stanley Cup finals.,Peter Hyams,"Jean-Claude Van Damme, Powers Boothe, Raymond J. Barry","Action, Crime, Thriller",111 min,22 Dec 1995
10,GoldenEye,7.2,"When a powerful secret defense system is stolen, James Bond is assigned to stop a Russian crime syndicate from using it.",Martin Campbell,"Pierce Brosnan, Sean Bean, Izabella Scorupco","Action, Adventure, Thriller",130 min,17 Nov 1995
12,Dracula: Dead and Loving It,5.8,Mel Brooks' parody of the classic vampire story and its famous film adaptations.,Mel Brooks,"Leslie Nielsen, Mel Brooks, Peter MacNicol","Comedy, Fantasy, Horror",88 min,22 Dec 1995
13,Balto,7.1,"An outcast Husky risks his life with other sled dogs to prevent a deadly epidemic from ravaging Nome, Alaska.",Simon Wells,"Kevin Bacon, Bob Hoskins, Bridget Fonda","Animation, Adventure, Drama",78 min,22 Dec 1995
14,Nixon,7.1,"A biographical story of former U.S. President Richard Nixon, from his days as a young boy, to his eventual Presidency, which ended in shame.",Oliver Stone,"Anthony Hopkins, Joan Allen, Powers Boothe","Biography, Drama, History",192 min,05 Jan 1996
15,Cutthroat Island,5.7,A female pirate and her companion race against their rivals to find a hidden island that contains a fabulous treasure.,Renny Harlin,"Geena Davis, Matthew Modine, Frank Langella","Action, Adventure, Comedy",124 min,22 Dec 1995
